EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.7044305801391602
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.7213621139526367
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.7232084274291992
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.7179951667785645
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.6888749003410339
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.7239598631858826
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.7027310132980347
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.6856153011322021
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.7193281650543213
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.7021307349205017
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.7044305801391602
/usr/local/Caskroom/miniconda/base/envs/GDL/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.7213621139526367
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.7232084274291992
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.7179951667785645
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.6888749003410339
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.7239598631858826
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.7027310132980347
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.6856153011322021
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.7193281650543213
EPOCH 2 OF 10 | VAL MEAN LOSS: 0.7021306753158569
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.7044305801391602
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.7213621139526367
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.7232084274291992
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.7179951667785645
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.6888749003410339
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.7239598631858826
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.7027310132980347
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.6856153011322021
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.7193281650543213
EPOCH 3 OF 10 | VAL MEAN LOSS: 0.7021306753158569
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.7044305801391602
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.7213621139526367
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.7232084274291992
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.7179951667785645
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.6888749003410339
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.7239598631858826
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.7027310132980347
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.6856153011322021
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.7193281650543213
EPOCH 4 OF 10 | VAL MEAN LOSS: 0.7021306753158569
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.7044305801391602
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.7213621139526367
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.7232084274291992
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.7179951667785645
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.6888749003410339
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.7239598631858826
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.7027310132980347
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.6856153011322021
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.7193281650543213
EPOCH 5 OF 10 | VAL MEAN LOSS: 0.7021306753158569
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.7044305801391602
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.7213621139526367
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.7232084274291992
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.7179951667785645
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.6888749003410339
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.7239598631858826
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.7027310132980347
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.6856153011322021
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.7193281650543213
EPOCH 6 OF 10 | VAL MEAN LOSS: 0.7021306753158569
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.7044305801391602
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.7213621139526367
